Partij,Aggregatie partij,# Stemmen,Percentage,# Zetels
VVD,,1929575,"20,49 %",31
Partij van de Arbeid (P.v.d.A.),,1848805,"19,63 %",30
PVV (Partij voor de Vrijheid),,1454493,"15,45 %",24
Christen Democratisch App�l (CDA),,1281886,"13,61 %",21
SP (Socialistische Partij),,924696,"9,82 %",15
Democraten 66 (D66),,654167,"6,95 %",10
GROENLINKS,,628096,"6,67 %",10
ChristenUnie,,305094,"3,24 %",5
Staatkundig Gereformeerde Partij (SGP),,163581,"1,74 %",2
Partij voor de Dieren,,122317,"1,30 %",2
TROTS OP NEDERLAND LIJST RITA VERDONK,,52937,"0,56 %",0
Partij voor Mens en Spirit (MenS),,26196,"0,28 %",0
Piratenpartij,,10471,"0,11 %",0
Lijst 17,,7456,"0,08 %",0
Partij ��n,,2042,"0,02 %",0
Nieuw Nederland,,2010,"0,02 %",0
Heel NL,,1255,"0,01 %",0
Evangelische Partij Nederland,,924,"0,01 %",0